,additional_events,time,distance
172,0.009708737864077669,-4,5
173,0.11650485436893204,-3,5
174,0.20388349514563106,-2,5
175,-0.5728155339805825,-1,5
176,-0.1553398058252427,0,5
177,0.18446601941747573,1,5
178,0.3300970873786408,2,5
179,0.4368932038834951,3,5
180,0.038834951456310676,4,5
181,0.11650485436893204,5,5
182,-0.1650485436893204,6,5
183,-0.0970873786407767,7,5
184,-0.2524271844660194,8,5
185,-0.0970873786407767,9,5
186,-0.06796116504854369,10,5
187,-0.21359223300970873,11,5
188,-0.21359223300970873,12,5
189,0.019417475728155338,13,5
190,0.0,14,5
191,-0.24271844660194175,15,5
192,-0.019417475728155338,16,5
193,0.02912621359223301,17,5
194,-0.04854368932038835,18,5
195,0.009708737864077669,-20,4
196,0.009708737864077669,-19,4
197,-0.009708737864077669,-18,4
198,0.038834951456310676,-17,4
199,-0.1553398058252427,-16,4
200,-0.1553398058252427,-15,4
201,-0.038834951456310676,-14,4
202,-0.038834951456310676,-13,4
203,0.1262135922330097,-12,4
204,0.10679611650485436,-11,4
205,0.1262135922330097,-10,4
206,-0.2912621359223301,-9,4
207,-0.0970873786407767,-8,4
208,-0.14563106796116504,-7,4
209,0.0970873786407767,-6,4
210,-0.20388349514563106,-5,4
211,0.22330097087378642,-4,4
212,0.39805825242718446,-3,4
213,0.04854368932038835,-2,4
214,-0.42718446601941745,-1,4
215,0.038834951456310676,0,4
216,0.23300970873786409,1,4
217,0.6213592233009708,2,4
218,0.6601941747572816,3,4
219,0.4368932038834951,4,4
220,0.14563106796116504,5,4
221,-0.08737864077669903,6,4
222,-0.21359223300970873,7,4
223,-0.24271844660194175,8,4
224,-0.10679611650485436,9,4
225,0.019417475728155338,10,4
226,-0.1262135922330097,11,4
227,-0.14563106796116504,12,4
228,-0.038834951456310676,13,4
229,-0.10679611650485436,14,4
230,-0.06796116504854369,15,4
231,-0.0970873786407767,16,4
232,-0.02912621359223301,17,4
233,-0.17475728155339806,18,4
234,-0.1262135922330097,-20,3
235,-0.1262135922330097,-19,3
236,-0.02912621359223301,-18,3
237,0.0970873786407767,-17,3
238,-0.08737864077669903,-16,3
239,-0.05825242718446602,-15,3
240,0.0970873786407767,-14,3
241,0.06796116504854369,-13,3
242,0.009708737864077669,-12,3
243,0.1650485436893204,-11,3
244,0.0,-10,3
245,-0.08737864077669903,-9,3
246,-0.11650485436893204,-8,3
247,-0.21359223300970873,-7,3
248,0.038834951456310676,-6,3
249,-0.10679611650485436,-5,3
250,-0.04854368932038835,-4,3
251,0.2912621359223301,-3,3
252,0.27184466019417475,-2,3
253,-0.23300970873786409,-1,3
254,0.0970873786407767,0,3
255,0.24271844660194175,1,3
256,1.3009708737864079,2,3
257,1.2621359223300972,3,3
258,0.5145631067961165,4,3
259,0.1262135922330097,5,3
260,-0.08737864077669903,6,3
261,-0.1553398058252427,7,3
262,-0.18446601941747573,8,3
263,-0.06796116504854369,9,3
264,-0.17475728155339806,10,3
265,0.009708737864077669,11,3
266,-0.038834951456310676,12,3
267,0.02912621359223301,13,3
268,-0.10679611650485436,14,3
269,-0.11650485436893204,15,3
270,-0.1262135922330097,16,3
271,-0.07766990291262135,17,3
272,-0.2524271844660194,18,3
273,-0.1941747572815534,-20,2
274,-0.14563106796116504,-19,2
275,0.0970873786407767,-18,2
276,0.1941747572815534,-17,2
277,0.04854368932038835,-16,2
278,0.038834951456310676,-15,2
279,0.038834951456310676,-14,2
280,0.019417475728155338,-13,2
281,-0.019417475728155338,-12,2
282,-0.13592233009708737,-11,2
283,-0.17475728155339806,-10,2
284,-0.11650485436893204,-9,2
285,-0.23300970873786409,-8,2
286,-0.6116504854368932,-7,2
287,-0.22330097087378642,-6,2
288,-0.1650485436893204,-5,2
289,-0.10679611650485436,-4,2
290,-0.3883495145631068,-3,2
291,0.9514563106796117,-2,2
292,-0.07766990291262135,-1,2
293,0.22330097087378642,0,2
294,0.2912621359223301,1,2
295,2.70873786407767,2,2
296,1.9029126213592233,3,2
297,0.019417475728155338,4,2
298,0.05825242718446602,5,2
299,0.0,6,2
300,0.0,7,2
301,-0.038834951456310676,8,2
302,-0.019417475728155338,9,2
303,-0.2524271844660194,10,2
304,-0.1262135922330097,11,2
305,-0.17475728155339806,12,2
306,0.04854368932038835,13,2
307,-0.05825242718446602,14,2
308,0.009708737864077669,15,2
309,0.009708737864077669,16,2
310,-0.04854368932038835,17,2
311,-0.019417475728155338,18,2
312,-0.05825242718446602,-20,1
313,-0.038834951456310676,-19,1
314,0.0970873786407767,-18,1
315,0.0,-17,1
316,0.4368932038834951,-16,1
317,0.24271844660194175,-15,1
318,-0.009708737864077669,-14,1
319,0.08737864077669903,-13,1
320,0.07766990291262135,-12,1
321,0.1650485436893204,-11,1
322,-0.2815533980582524,-10,1
323,-0.46601941747572817,-9,1
324,-0.3300970873786408,-8,1
325,-0.5145631067961165,-7,1
326,-0.46601941747572817,-6,1
327,-0.7961165048543689,-5,1
328,-0.46601941747572817,-4,1
329,-0.33980582524271846,-3,1
330,0.02912621359223301,-2,1
331,1.9902912621359223,-1,1
332,0.5533980582524272,0,1
333,2.058252427184466,1,1
334,2.2815533980582523,2,1
335,0.7961165048543689,3,1
336,-0.02912621359223301,4,1
337,0.009708737864077669,5,1
338,0.0,6,1
339,-0.02912621359223301,7,1
340,-0.05825242718446602,8,1
341,-0.08737864077669903,9,1
342,-0.08737864077669903,10,1
343,-0.39805825242718446,11,1
344,-0.2912621359223301,12,1
345,-0.34951456310679613,13,1
346,-0.20388349514563106,14,1
347,-0.1262135922330097,15,1
348,-0.23300970873786409,16,1
349,-0.10679611650485436,17,1
350,-0.3592233009708738,18,1
351,-0.07766990291262135,-20,0
352,0.1553398058252427,-19,0
353,0.1262135922330097,-18,0
354,0.0,-17,0
355,0.13592233009708737,-16,0
356,-0.17475728155339806,-15,0
357,-0.36893203883495146,-14,0
358,-0.02912621359223301,-13,0
359,0.1262135922330097,-12,0
360,0.0,-11,0
361,0.02912621359223301,-10,0
362,-0.24271844660194175,-9,0
363,-1.058252427184466,-8,0
364,-0.24271844660194175,-7,0
365,-0.2815533980582524,-6,0
366,-1.2427184466019416,-5,0
367,-0.7669902912621359,-4,0
368,-0.6019417475728155,-3,0
369,-0.5048543689320388,-2,0
370,0.6796116504854369,-1,0
371,3.3689320388349513,0,0
372,6.223300970873787,1,0
373,1.3689320388349515,2,0
374,0.3300970873786408,3,0
375,0.038834951456310676,4,0
376,0.0,5,0
377,0.0,6,0
378,0.0,7,0
379,-0.009708737864077669,8,0
380,-0.009708737864077669,9,0
381,-0.02912621359223301,10,0
382,-0.038834951456310676,11,0
383,-0.10679611650485436,12,0
384,-0.0970873786407767,13,0
385,-0.07766990291262135,14,0
386,-0.10679611650485436,15,0
387,0.0,16,0
388,-0.07766990291262135,17,0
389,-0.0970873786407767,18,0
